ID;Content;Lab;NumL
14;"- bebekkkk 🤍🐣

#AşkMantıkİntikam #İlhanŞen https://t.co/YNjnKAkbfm";Neutral;2
15;"- ben o gece sadece sana aşık olmadım biliyor musun , aşkla da barıştım...🥲 
#mahkum • #barbüg https://t.co/zQQQPYCz6Y";Neutral;2
16;"' ben sende tutuklu kaldım '

#GönülDağı #NişanımızVar #AsRam https://t.co/sZiwbdsoLo";Neutral;2
17;"' Ben seninle yaşayamadığım her anı çok özlüyorum "" 💔

[ #EvlilikHakkındaHerŞey ▪︎ #AzrEf 
#GökçeBahadır ▪︎ #BarışKılıç ] https://t.co/ybXfrr1L5O";Neutral;2
18;"- Bi daha hiç bir şekilde kimseyi öldürmeyeceksin , Söz mü? 
- Söz !!
——————
""Sahne hayaller dünyasındandı 😂😂💫""
     #barbüg - #Mahkum https://t.co/i0QEf4Hb6T";Neutral;2
19;"' Biliyor musun bir balığın bile ezberinde kalırsın ...'

-

#eszan
#aşkmantıkintikam https://t.co/kzYXvyi1bC";Neutral;2
20;"'' bir ellerin bir ellerim yeter ''
#MasumlarApartmanı #SafNac 🕊 https://t.co/UCdyOfcx71";Neutral;2
21;"– Buranın adını “Aşk Bahçesi” koyalım mı 🫒🌸

#GönülDağı #ElKen
#SerkanKuru #ZümreMeğreli https://t.co/1pOcruVgw1";Neutral;2
22;"— derin hasret rüzgârları
ardından gelen vuslatlar🕊

#masumlarapartmanı ⋅ #safnac 🌼 https://t.co/llLFaBiD6Z";Neutral;2
23;"— geride kaldi
o gunler..❤️‍🩹

                   #mahkum ◗ #fırbar
        #onurtuna ◗ #ismailhacıoğlu https://t.co/XaqNZcIUAg";Neutral;2
24;"- GÜLBEN sen çok akıllı bir çocuksun çok becerikli bir çocuksun kendinle gurur duy 
- SAFIYE sen çok değerlisin çok masumsun bunu sakın unutma olur mu

Kendilerine inandırdıkları ne kadar değerli sözler ♥🥺

- #MasumlarApartmanı https://t.co/35HH1Tdsxs";Neutral;2
25;"— günaydın🤍

#AşkMantıkİntikam • #EsZan https://t.co/3hzioKJlVy";Neutral;2
26;"— günaydın🤍

#AşkMantıkİntikam • #EsZan https://t.co/rODLhkXFyv";Neutral;2
27;"— Huzur…🤍

#AşkMantıkİntikam • #EsZan https://t.co/vJVeL8AILV";Neutral;2
28;"- İçimden geldi kanka
- Eyvallah kanka
Aradığım ilişki ahhahsjghxsjbshxhjd

#MasumlarApartmanı";Neutral;2
29;"- Korkma benim...🧡

#dönümnoktası • #mahkum https://t.co/T7puFABm00";Neutral;2
30;"- kuaför önünde asumanın güzelliğinden şoka giren bir ramazan
- kavgalarında birbirlerine dinleyip anlayan asram
- dans sahnesinde arka fonda sen benimsin ben seninim müziği
- dans eden güzel çiftlerim

TEK İSTEĞİM BUYDU GERÇEKTEN…
#NişanımızVar #GönülDağı @essizferhat";Positive;1
31;"- ne güzel 😭🤍🤍
Emir 🤍🤏🏻

#AşkMantıkİntikam #EsZanLasDa #eszan #emirgüler #BurcuÖzberk https://t.co/HFHrVrNVK7";Positive;1
32;"- Umarım herkesin masalının sonu mutlu biter..🤍🥺👼
#AskMantıkİntikam #EsZanLas #EsZanLasDa #EsZan #ilbur
#ilhansen #BurcuÖzberk 
@burcu_ozberk @illhansen https://t.co/ua0fBdlSaa";Neutral;2
33;"- Ya ne alakası var Esra 🥹
#askmantıkintikam #eszan https://t.co/djlgz4k3eG";Neutral;2
34;""" Haberler ya yalandır ya da kötüdür. ""

Rafi'ye katıldığım tek şey olabilir. 

#mahkum";Neutral;2
35;"""Ah nerede vah nerede"" ye uyarlama yapacaklarmíş .Gülşen Bubikoğlu ile Burcum' un saçları, tarzları benziyor.Cok güzel olur.🙏Tarık Akan a benzeyen bir oyuncu bulurlarsa uyum ve kimyalari da uyarsa muhteşem dizi olur   👍#askmantikintikam";Positive;1
36;"""annem nerde baba"" o kadar acı bi cümleydi ki... Nazlı ya kıyamam sana çocuğum #mahkum";Positive;1
37;"""Ben bu eve geldiğimde sizden çok şey öğrenirim diye heveslenmiştim ama sizin bana verdiğiniz tek hayat dersi SEVGİSİZLİK oldu...""

Fragman ön izlemeler harika bölümden sonra kızmıştım ama bunlar çok iyi geldi en merak ettiğim bölüm kesinlikle çok heyecanlıym
#ÜçKızKardeş #TürMer https://t.co/leEwEWNkEX";Positive;1
38;"""Ben pis değilim...
Kötü değilim...
Masumum..."" 🤍
Senin güzel kalbinden öperim yaralı kuşum 🕊
Tertemizsin sen 🤍
#MasumlarApartmanı";Neutral;2
39;"""Ben pis değilim...Kötü değilim...Masumum...""
Kurban olurum sana 🥺♥️
#Safiye #MasumlarApartmanı";Neutral;2
40;"""Ben varım"" ne muhteşem iki sözcük #CamdakiKız";Positive;1
41;"""biliyor musunuz annem artık bana kötü bakmıyor.""🥺 #masumlarapartmanı https://t.co/ETYye8pzQh";Neutral;2
42;"""Bir gün gidersem vazgeçtiğim için değil, çekip gitmem gerektiği için giderim.""

Türkan tam da söylediğini yaptı. 

Duygudan duyguya sürüklendiğimiz harika bir bölümdü. Emeklere sağlık.

#ÜçKızKardeş https://t.co/LswqQ0WgTP";Positive;1
43;"""Ceylan o yılan gözlü olan mı.. sevmedim ben onu.."" ağzına sağlık Okşan harikasın. #masumlarapartmanı";Positive;1
44;"""Eğer dinlemek isterseniz benim anlatmaya cesaretim var.."" Dizi müthiş bir kırılma noktasına doğru gidiyor 👀 Duygular dile dökülmeye başlıyor, NalHay tüm hızıyla geliyor, oldukça merak uyandırıcı ilerliyor 😎👏👏👏 #CamdakiKız";Positive;1
45;"""Hayatta kalmak için kötülüğe hapsoldum sanki"" #Mahkum https://t.co/zdRrpWd8yl";Neutral;2
46;"""Hayatta kalmak için kötülüğe hapsoldum sanki..."" 😔 #BarBüg #Mahkum @FOXTurkiye https://t.co/0RN5NVR5nu";Neutral;2
47;"""Her şeyi ile"" o kadar çok katılıyorum ki. Baştan sona özene bezene yazılmışlardı.Tomris'le sahneler, ikisinin de duyguları ve bulundukları durum hakkında konuşması,temaslar,aralarındaki çekim,Büge'nin duygularıyla mantığı arasındaki ikilem.Harika bir bölümdü #barbüg için.#mahkum https://t.co/Wse1z23Zxq";Positive;1
48;"""İkimizi üst üste koysan ona (Esra) ulaşamayız Gülben"" Safiye 🤣
 Yaaa çok tatlısınız siz😍
#MasumlarApartmanı https://t.co/SQACXQ2Shc";Positive;1
49;"""kıpır kıpır bahar
  usul usul rüzgar
  sanki tatlı tatlı öpülmekteyim""🌸💛

#borsan #evlilikhakkındaherşey https://t.co/P0PsdoRYWA";Positive;1
50;"""Ne demek biliyor musun bir insanı sevmek Birden dünyada kötü insan kalmıyor"" 🍁🌸

~Şükrü Erbaş 

#NişanımızVar
#Gönüldağı
#cumartesi https://t.co/uTlWZNjeqP";Neutral;2
51;"""O kadar kötü olmasaydı şimdi sen ikinci çocuğumuza hamileydin""çok güzel aynı zamanda çok acı bir söz .zamanında ailesi için gelecekte ki mutluluğunu yitiren Han😔neyse zor zamanlar geçti artık mutlulukları yakın ikisi ❤️ için  #MasumlarApartmanı";Neutral;2
52;"""Ozan mal mısın birader? Kendine de mi saygın yok 5 sene bu karıyla ne bok yemeye evli kaldın? Boşansaydın ya!

#AşkMantıkİntikam https://t.co/AqB5eZzkxI";Neutral;2
53;"""Yadigar ohaaa inanmıyorum efsane bölüm sonu #Mahkum";Neutral;2
54;"""Yeter ki bırakıpta temelli gitmesin
Yeter ki kötü sözle incitmesin
Yeter ki söz verip bekletmesin
Razıyım razıyım uzaktan sevsin""

Sahnenin hüznü, Türkan'ın yavaş yavaş aşka düşüşünün fb. si, Özgü Kaya'nın billur gibi sesinden yine çok güzel bir şarkıyı dinlemek. 

#ÜçKızKardeş https://t.co/C88W5i5hoc";Neutral;2
55;"#AçelyaDevrimYılhan müthiş bir oyuncu 👏👏 
#MasumlarApartmanı";Positive;1
56;#AkBat çok Tatlı degilmi çok güzel bi çift #destan düşüyorum 🤤;Positive;1
57;"#ArkaSokaklar Bugun tekrar bölüme denk geldim Mesut Selin'e evlenme teklif ediyor #SelMes Oya Okar &amp; Şevket Çoruh çok tatlılar https://t.co/Ch9aqLsUzo";Positive;1
58;"#ArkaSokaklar Bugun tekrar bölüme denk geldim Mesut Selin'e evlenme teklif ediyor #SelMes Oya Okar &amp; Şevket Çoruh çok tatlılar https://t.co/Ch9aqLsUzo";Positive;1
59;#ArkaSokaklar güzel bir bölüm;Positive;1
60;#ArkaSokaklar güzel bir bölüm;Positive;1
61;#ArkaSokaklar İyice bitti. 🤦 aşk meşk ne ya ..;Negative;4
62;#ArkaSokaklar İyice bitti. 🤦 aşk meşk ne ya ..;Negative;4
63;#ArkaSokaklar muhteşem bir bölüm;Positive;1
64;#arkasokaklar muhteşem bir bölüm bol aksiyon bol macera Arka Sokaklar tam gaz ellerinize emeğinize sağlık mükemmeldi müziklere bayıldım süperdi. Arka Sokaklar daima.;Positive;1
65;#ArkaSokaklar öyle bir dizi ki bir anda yükselebiliyor onu da Mesut/ SelMes ile başarabilirsiniz.. gençleri engin'i falan boşverin ek sahnelerle başarabilirsiniz..yalniz atilan görseller kötü yeni SelMes fotograflari kamera arkasi lazim @AsmGm2  @aermis77;Neutral-Negative;3
66;#ArkaSokaklar öyle bir dizi ki bir anda yükselebiliyor onu da Mesut/ SelMes ile başarabilirsiniz.. gençleri engin'i falan boşverin ek sahnelerle başarabilirsiniz..yalniz atilan görseller kötü yeni SelMes fotograflari kamera arkasi lazim @AsmGm2  @aermis77;Neutral-Negative;3
67;#ArkaSokaklar yine müthiş;Positive;1
68;#ArkaSokaklar yine müthiş;Positive;1
69;#ArkaSokaklar'ın Yeni Bölümü Yine Muhteşemdi Mükemmeldi Harikaydı Aksiyon Macera Gerilim Heyecan Doluydu Çok Güzeldi Efsane Bir Bölümdü Her Zaman Olmasını İstediğimiz Hep İzlemek İstediğimiz Bir Bölümdü 👏🚔 @sevketcoruh_ @muratevginmusic @ozanemre @orhansoguz @KanalD @erlerfilm_;Positive;1
70;#ArkaSokaklar'ın Yeni Bölümü Yine Muhteşemdi Mükemmeldi Harikaydı Aksiyon Macera Gerilim Heyecan Doluydu Çok Güzeldi Yine Her Zamanki Gibi Efsane Bir Bölümdü Çok Heyecanlıydı 👏🚔 @sevketcoruh_ @muratevginmusic @ozanemre @orhansoguz @KanalD @erlerfilm_;Positive;1
71;#ArkaSokaklar'ın Yeni Bölümü Yine Muhteşemdi Mükemmeldi Harikaydı Süperdi Aksiyon Macera Gerilim Heyecan Doluydu Çok Güzeldi Yine Her Zamanki Gibi Efsane Bir Bölümdü Şahaneydi 🔥🚔👏 @sevketcoruh_ @muratevginmusic @ozanemre @orhansoguz @KanalD @erlerfilm_;Positive;1
72;"#AskMantıkİntikam
İnsanların kendi işledikleri (kötülükler) sebebiyle karada ve denizde bozulma ortaya çıkmıştır. Dönmeleri için Allah, yaptıklarının bazı (kötü) sonuçlarını (dünyada) onlara tattıracaktır.

 Rum 41";Neutral;2
73;"#AşkMantıkİntikam
#AşkMantıkİntikamVeda

Hangisi daha iğrenç";Negative;4
74;#Baba evli bir kadın parkta neden öpüşür kötü örnek oluyorsunuz #AhlaksızProgramlar #ATATÜRK #TarikatlarKapatılsın #CamdakiKız 💋anne baba 5 vakit namazda nasıl olacak şimdi💋🙈🙉🙊🙉#HaydarAkınYalnızDeğildir #Devletin #AhlaksızProgramlar #Allah;Negative;4
75;#borsan çifti yine harikaydı #EvlilikHakkındaHerŞey e de böyle güzel bölüm sonu yakışırdı, Sanem sonunda doğru olanı yaptı, iyi ki bölüm sonu ayrılmadı #borsan nasıl da güzeller;Positive;1
76;#BorSan sahneleri harika gidiyo dolu dolu 💕👍🏻 #EvlilikHakkındaHerŞey @FOXTurkiye @evlilikhkhersey;Positive;1
77;#BorSan’ın tatlılığına bakar mısınız? 😍 #EvlilikHakkındaHerŞey https://t.co/kN1i5yLXgn;Positive;1
78;#BorSan’ın tatlılığına bakar mısınız? 😍 #EvlilikHakkındaHerŞey https://t.co/sOyJUHO9dF;Positive;1
79;#cahiloğulları #feridekruger çok iyisin tespitlerin harika 😂 #koroglu #camdakikiz;Positive;1
80;#CamdakiKız  en sevdiğim tatlıyı koymuşlar ya bu saatte tatlı perilerini niye gönderiyosunuz bana bizim evde Hayri yok https://t.co/UbYc41QeQb;Neutral;2
81;#CamdakiKız Beni de iyice Müslüm'cü yaptınız;Neutral;2
82;#CamdakiKız bu ne ya bi tatlı için kaç kişiye hesap veriyor izledikçe sinirden gözüm seğiriyo;Neutral-Negative;3
83;"#CamdakiKız da bir daha Müslüm çalarsa izlemicem, içim şişti, yeter bu kadar arabesk
Kitapta Hayri üç çocuklu evli bir adam, Nalan kuma oluyor falan
İyice baydınız, iyice";Negative;4
84;"#Camdakikız 'da,Kitaptan muhteşem ayrıntı!
İşte o sahne geldi❤️
Nalan: Bizim bahçeye her gün birbirinden güzel çiçekler dikilir, o çiçeklere baglanan incileri, boncukları, kırmızı kalpleri bir tek ben görürdüm."" 

#CihangirCeyhan #BurcuBiricik  #HayNal https://t.co/zA4EeUqYSL";Positive;1
85;"#CamdakiKız dizisinin fragmanlarını kim yapıyorsa tebrik etmek gerek 
Bu kadar içi boş sıkıcı bölümlere nasıl böyle mükemmel fragmanlar yapıyor hayret ediyorum";Negative;4
86;#CamdakiKız Hayri de iyice aşik her halinden belli oluyor.;Neutral;2
87;#CamdakiKız her dizide seyircinin doğru düzgün olduğunu düşündüğü ve kendiyle bütünleştirdiği bir karaktere ihtiyaç vardır. Bu seyircinin güvenebileceği tek kişidir. #yasakelma da bile onca kötülüğün entrikanın içinde #yildiz karakteri iyi niyetiyle bu hissiyatı verir. ++;Neutral;2
88;#CamdakiKız iyice mıy mıy dizi yaptınız. Tv dizilerinden nefret ediyorum. Dijital diziler favorim.;Negative;4
89;#CamdakiKız izlerken fenalıklar basıyor bana artık ruhum sıkışıyor. Bir insan bir insanın hayatını nasıl bok eder? Sevmeyerek, korkutarak, bastırarak, ağlamasına bile izin vermeyerek. Peki sonra ne olur? O insan en sevilmeyeceği yere kaçar bilmeden..;Neutral-Negative;3
90;#CamdakiKız Nalan söföre yaklasma bitirme prensesligini..sonu kötü bu isin;Neutral;2
91;#camdakikız nasıl saçma sapan bir dizi oyunculuklar desen berbat;Negative;4
92;#CamdakiKız nolur Selen heryere burnunu sokmasın yaaa sıktı iyice şu mal halleri;Neutral-Negative;3
93;#camdakikız öl be feride öl çık diziden nalan azıcık nefes alsın yeter iğrençsin hem kendi kızının hayatına sebep oldun hem kocanın hem nalanın;Negative;4
94;#CamdakiKız Rafet Koroglu harika bir tipleme var mı böylesi ibretlik hayat dersi;Positive;1
95;#CamdakiKız Sedat sen de nasıl bi malsın bi karar ver ya karın ya cana bi karar ver sıktınız iyice ya https://t.co/NfXcf5B4Yk;Neutral-Negative;3
96;#CamdakiKız tatlının adı neydi hayrinin nalan a aldığı;Neutral;2
97;#CamdakiKız tebrikler 👏 harikasınız https://t.co/ipEl10DU4H;Positive;1
98;#CamdakiKız yazarları hikaye yaratma konusunda aşırı kötü. Sıfır yaratıcılık! Allahtan Nalan ile Hayri hikayesini kitap sayesinde yazabiliyorlar. Kitap da olmasa ne yapacaklardı acaba 🤦🏼‍♀️;Negative;4
99;"#camdakikiz  Muzo ve perayı daha çok görelim çok tatlılar 
Nalandan içim şişti";Neutral-Negative;3
100;#camdakikiz harikalar, çok güzel 🤩 https://t.co/dbdS0SL8oz;Positive;1
101;#camdakikiz Hayriden hoslandıgı icin her fırsatı degerlendirmeye calışan Billurdan Hayri icin akıl almak 😄😄 düsülebilecek mükemmel bir hata Nalan 😁;Neutral;2
102;"#camdakikiz ın Camına Taş attılar Kapısına Bok attılar vücuduna Korse Taktılar şikayetçiyiz Hakim Bey
                Av.Ceylin #yargı";Neutral-Negative;3
103;"#çoler yine çok tatlılar 😍
#evlilikhakkındahersey";Positive;1
104;"#destan 
Akkızın çakma annesi: beni öldürürsen alpagohana çolpanın yaşadığını derim! 

Kim demiş ölüler konuşmaz diye?";Neutral;2
105;#EdipTepeli Çıkıyorsa #Destan dizisinden kesinlikle topuklarına sıkarlar senaristler yazıklar olsun!! Böyle Mükemmel bir oyuncu kolay yetişmez zaten başrolde Edip tepeli ve Ebru Şahin lakin Batuga Başbuğ ilan edildi daha üzerine düşen görevleri var dizi direk finale gider;Negative;4
106;#ElKen tatlı hoş samimi aşk dolu sahnelerine kadar bir sürü kudurmanız gereken konu var demek ki bu kadar toksik olan sizsiniz.  #GönülDağı;Positive;1
107;#evlilikhakkındahersey basladi müthiş dizim,Çolpan sana bayiliyorum senden baskasi bu rolü efsanelestiremezdi...;Positive;1
108;#evlilikhakkındahersey muhteşem yine💙💙💙🧿 https://t.co/hIpMQUYxtp;Positive;1
109;#evlilikhakkındahersey muhteşemsiniz başka söz bulamıyorum bu dizi için 💙💙💙 https://t.co/WQHaZKmrRI;Positive;1
110;#EvlilikHakkındaHerŞey 28.bölüm 2.fragman yayında. Muhteşem bir bölüm geliyor. 💥💥 https://t.co/wOwl8Qm6Cy;Positive;1
111;#EvlilikHakkındaHerŞey bence sezonun en iyi dizisi.Gokce Bahadir,Gokce Eyyuboglu iki harika oyuncu;Positive;1
112;#EvlilikHakkındaHerŞey böyle bir bölüm olamaz en az 10kez tekrar izlemem lazım mükemmel oyuncular için minnettarız @FOXTurkiye https://t.co/9xRwFdWoPl;Positive;1
113;#EvlilikHakkındaHerŞey bunların herbiri efsane oyuncu,tatlış ve çokda komik.🤣🤣;Positive;1
114;"#EvlilikHakkındaHerŞey değil tek şey;
 berbat bir şey..😏";Negative;4
115;#EvlilikHakkındaHerŞey dizi çok güzel,oyuncular çok tatlı,emegi geçenlere sonsuz teşekkür ederiz.;Positive;1
116;#EvlilikHakkındaHerŞey dizisinin muhteşem çifti #ÇolEr sizler için gelsin. 😍😍 https://t.co/F2RgR0XJPo;Positive;1
117;#evlilikhakkındaherşey efe avcı sen harika adamsın🤩 bora cevher ne demek ya 😂😂;Positive;1
118;#EvlilikHakkındaHerŞey Erman ve Colpan liseli aşıklar gibisiniz ne tatlı 💞;Positive;1
119;#EvlilikHakkındaHerŞey Evlilik harika olay ya insan en azından acaba beni seviyo mu acaba sadece takılıyo muyuz diye muallakta kalmıyo;Positive;1
120;"#evlilikhakkındaherşey fragmanı gelmiş 😋
#borsan aşkımın tatlılığı😍
Çolpan, Efe hakkında acaba ne söyleyecek 🙄
Lütfen ama lütfen hemen Salı gelebilir mi, keyifle izleyelim ☺️ https://t.co/EH4DrBrFtr";Positive;1
121;"#evlilikhakkındaherşey Harika planım var...
Hadi koşalım 🤣🤣🤣";Positive;1
122;#EvlilikHakkındaHerŞey muhteşem 💙💙 https://t.co/LT0lX3AtNf;Positive;1
123;#EvlilikHakkındaHerŞey müthişsiniz ya;Positive;1
124;#EvlilikHakkındaHerŞey oyunculukları mükemmel lütfen dizi devam etsin https://t.co/9wdBJNZ31L;Positive;1
125;#EvlilikHakkındaHerŞey sosyal medyada gündem olan dizi reytingleri nasıl kötü anlamıyorum yada insanlar dizi zevkinden anlamıyor böyle şahane dizi bitmemeli ♥️ @FOXTurkiye gün değişikliği yapın bari bitirmeyin böyle güzel diziyi;Positive;1
126;#EvlilikHakkındaHerŞey vavvv adliyede evlenme teklifi,harika.👏👏;Positive;1
127;#evlilikhakkındaherşey yine mi muhteşem bir bölüm cok güzeldi yaaaa ama yetmedi fragmannn😒🤧✨✨;Positive;1
128;"#evlilikhakkındaherşey
Her biri müthiş oyuncular
👏👏👏👏👏👏";Positive;1
129;#GönülDağı #NişanımızVar Bölüm Beklediğimden Mükemmel Gidiyor😍😍😍😍😍;Positive;1
130;#GönülDağı #NişanımızVar Oha Bu Nasıl Performans Bu Nasıl Giriş Oha!;Neutral;2
131;#GönülDağı #NişanımızVar Sadece Tek Eleştirim Var Nişan Sahnesi Daha da Uzun Olmalıydı...;Neutral-Negative;3
132;#GönülDağı #NişanımızVar Zahide Sende Mükemmel Ötesi Kalp Var Be😊;Positive;1
133;#GönülDağı Sonunda #AsRam Aşkı #NişanımızVar Muhteşem Aşıklar https://t.co/UFCfXgAmBM;Positive;1
134;#GönülDağı yine harika konularla bizlerleydi. Mihriban hoş geldin, hem Gönül Dağı'na hem de yüreklere. İyi ki... https://t.co/C0VkTDBMNP;Positive;1
135;#Mahkum  tatlı baba , güzel babammmm🦋🦋🦋🦋🦋 https://t.co/Awzu2h54lM;Positive;1
136;#Mahkum Ali'yi de öldürmüşler ohaaa 😮😮;Neutral;2
137;#mahkum cemreyibaros oldurmeliydi. Vasifsiz ilgi crkmeyen ydiigar degil iyice sacmaladiniz. Baris.gibi en ilgi cekici.katil dururken yadigarda kim oluyor. Senarist duy sesimizi cemreyi baris oldurseydi ortslik fena karisacskti cok asiri heyecan olucakti.;Neutral;2
138;#Mahkum iyice sacmaladilar;Negative;4
139;#Mahkum klasik diziler gibi sacmalamaya basladiniz... hep ayni klişe iyiler tüm delilleri yan yana tutar kötüler son gece son dakika onları bir sekilde ele gecirir... sıkılmaya başladım...;Negative;4
140;#Mahkum senaryo iyice seyircinin  aklı ile dalga geçmeye evrildi . Bölümde genel olarak sıkıcı bölümde sadece cemrenin mezarına konan cüppe kısmını beğendim oradaki Fırat'ın konuşması baya iyidi .;Negative;4
141;"#Mahkum
Büge bu kadar iğrençliğe rağmen nasıl bir k@t*lin yanında olabiliyor??? https://t.co/j3euVXxa1X";Negative;4
142;#Mahkum’da yine flaş bir son.Yadigar’dan bir şey çıkacağı belliydi.Bölümde bütün olumsuzluklar Fırat’ı buldu.Bence bu kadar kötü olaylar seyirciyi sıkar.Güzel sahnelerin bir an önce gelmesi lazım…📌 #KimYaptı;Negative;4
143;#MasumlarApartmanı Babanın konuşmaları çok tatlı;Positive;1
144;#MasumlarApartmanı bu hafta yine harika bir bölüm geliyor...;Positive;1
145;#MasumlarApartmanı iyice tiksindim sizden. Okadar çocuk öldü yaralandı sakat kaldı ama hiç duyarlanmadınız. İki yüzlüker iki yüzlüler. Siz anca köpek sevin.;Negative;4
146;#MasumlarApartmanı müthiş bir dizi karakterler arasındaki bir diyalog ile kalplere dokunuyor içi ısıtıyor yeter ki istensin;Positive;1
147;"#masumlarapartmanı safiye düzeliyor? 
Sonunda,senarist duydu ?
Bir iyi bir kötü tam iyi derken 
Safiye ne çekdin beeee🙃";Neutral;2
148;#MasumlarApartmanı ya ben sana kıyamam Hasibe :*((;Positive;1
149;#MasumlarApartmanı 😵‍💫ben izlemeyeli film iyice kafayi yemis psikolog bile hortlakla konuşuyor😁;Neutral;2
150;"#masumlarapartmanı
Gülbenin salıncak sahnesinde on beş yerimden bıçaklandım resmen...
Küçük Gülben ne kadar tatlısın 🥲";Positive;1
151;"#MasumlarApartmanı
Tüm bölümü yüreğim ağzımda ahanda şimdi kötü bişi olcek diye izledim.. şimdi sar başa off yeaaaa😳 https://t.co/zSFb9qmL18";Neutral;2
152;#Mihriban çatı aktarıyor hay maşallah, bana da böyle gelin nasip olsun inşallah🤲😁Kıyamam ben ya, bu kadar iş yapmasına gerek yok😊 #NişanımızVar #GönülDağı;Neutral;2
153;#nalan işin BK çıkardınız ne yani evli bir kadına böyle şeyler yaapması normal mi birde ikisi birleşsin diye bekleyen tipler var yazık.dizi de bok çıktı ayırın birleştirin ne yani uzunuzun bakışma vardı 3-5 senedir şimdide konuyu sündürme ve uzun uzun müzik dinletisi #CamdakiKız;Neutral;2
154;#NişanımızVar Televizyonun, en çok söz,nişan,düğün yapan dizisi iyi ki varsınız #GönülDağı #AsRam ❤️Çok tatlısınız maşAllah 💞İnlAllah sezon finalinde de düğününüzü görürüz🤲;Positive;1
155;"#OyaOkar &amp; #ŞevketÇoruh 💫
Kostümler çok kötü maalesef.. Ayrıca büyük ihtimalle Selin ve Mesut ikili sahne yok ki kamera arkası fotoğraf atıyorlar..🤷🏼‍♂️

#SelMes &amp; #ArkaSokaklar https://t.co/uV7D8BFXCW";Negative;4
156;"#OyaOkar &amp; #ŞevketÇoruh 💫
Kostümler çok kötü maalesef.. Ayrıca büyük ihtimalle Selin ve Mesut ikili sahne yok ki kamera arkası fotoğraf atıyorlar..🤷🏼‍♂️

#SelMes &amp; #ArkaSokaklar https://t.co/uV7D8BFXCW";Negative;4
157;"#ÖzgüKaya &amp; #BerkerGüven çok tatlı bir ikili oldular gerçekten. Enerjileri bayağı uydu. #ÜçKızKardeş #TürMer 😍 https://t.co/9N8Igo80ar";Positive;1
158;"#sadakatsiz
#camdakikız 
İyice saçmaladınız artık..";Negative;4
159;#SevketCoruh #ArkaSokaklar'dan Ayrilmali Habire Somurtan Bir Adam Bozdolabi Gibi Adam Bir Adam Dizimizin Kadrosunda Yer Almamali Sahsen @erlerfilm_'den Geregini Yapmalarini Rica Ediyorum Siktiredin Sunu Diziden Gönderin Aylin'de Bunun Gibiydi Buda Öyle Kovulmali Para Sorunu Olmaz https://t.co/4H2UNfRF7t;Neutral-Negative;3
160;#SevketCoruh #ArkaSokaklar'dan Ayrilmali Habire Somurtan Bir Adam Bozdolabi Gibi Adam Bir Adam Dizimizin Kadrosunda Yer Almamali Sahsen @erlerfilm_'den Geregini Yapmalarini Rica Ediyorum Siktiredin Sunu Diziden Gönderin Aylin'de Bunun Gibiydi Buda Öyle Kovulmali Para Sorunu Olmaz https://t.co/4H2UNfRF7t;Neutral-Negative;3
161;#ueckızkardes ya erkeklerin kızların kazaklarını giyindikleri sahne olaydı 😂 Ama daha olay olan fragman harikaaaa Somer akıllanmaya başlıyorsun.;Positive;1
